City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather,Date
147,Kyabram,AU,-36.32,145.05,43.0,91,0,1.01,clear sky,2020-08-30 15:40:37
148,Makakilo City,US,21.35,-158.09,78.8,65,1,4.7,clear sky,2020-08-30 15:40:37
149,Cuenca,EC,-2.88,-78.98,59.0,67,20,4.81,few clouds,2020-08-30 15:40:38
150,Itaqui,BR,-29.13,-56.55,52.5,88,100,15.3,overcast clouds,2020-08-30 15:40:19
151,Esperance,AU,-33.87,121.9,46.4,87,71,9.17,broken clouds,2020-08-30 15:40:38
152,Tchollire,CM,8.4,14.17,79.09,88,65,2.1,moderate rain,2020-08-30 15:40:38
153,High Level,CA,58.52,-117.14,46.4,70,20,20.8,few clouds,2020-08-30 15:40:38
154,Subtanjalla,PE,-14.02,-75.76,62.01,87,90,6.93,mist,2020-08-30 15:40:39
155,Porto Tolle,IT,44.95,12.32,84.99,56,8,19.01,clear sky,2020-08-30 15:40:39
156,Calbuco,CL,-41.77,-73.13,48.2,76,75,5.82,broken clouds,2020-08-30 15:40:39
157,Banepa,NP,27.63,85.52,73.4,94,40,5.82,scattered clouds,2020-08-30 15:40:04
158,Yulara,AU,-25.24,130.99,62.6,33,0,5.82,clear sky,2020-08-30 15:40:40
159,Kismayo,SO,-0.36,42.55,78.15,80,0,16.33,clear sky,2020-08-30 15:40:40
160,Bonavista,CA,48.65,-53.11,55.0,79,100,10.0,moderate rain,2020-08-30 15:40:40
161,Cidreira,BR,-30.18,-50.21,59.07,92,99,12.1,overcast clouds,2020-08-30 15:40:40
162,Leh,IN,34.17,77.58,64.06,25,0,4.85,clear sky,2020-08-30 15:40:41
163,Almenara,BR,-16.18,-40.69,87.3,42,86,5.17,overcast clouds,2020-08-30 15:40:41
164,Illapel,CL,-31.63,-71.17,63.18,38,0,5.41,clear sky,2020-08-30 15:40:41
165,Batagay-Alyta,RU,67.8,130.41,43.95,71,98,1.95,overcast clouds,2020-08-30 15:40:41
166,Winnemucca,US,40.97,-117.74,66.2,20,1,8.05,clear sky,2020-08-30 15:40:42
167,Airai,TL,-8.93,125.41,56.66,100,25,4.07,scattered clouds,2020-08-30 15:40:42
168,Chokwe,MZ,-24.53,32.98,69.64,70,94,14.56,overcast clouds,2020-08-30 15:40:42
169,Gamboma,CG,-1.88,15.86,86.83,55,78,2.44,broken clouds,2020-08-30 15:40:42
170,Agadir,MA,30.42,-9.6,80.6,47,1,14.99,clear sky,2020-08-30 15:40:43
171,Ocho Rios,JM,18.4,-77.1,88.0,78,26,10.0,scattered clouds,2020-08-30 15:40:43
172,Rocha,UY,-34.48,-54.33,52.12,53,10,7.74,clear sky,2020-08-30 15:32:58
173,Mehamn,NO,71.04,27.85,50.0,76,40,11.41,scattered clouds,2020-08-30 15:32:41
174,San Vicente,AR,-26.62,-54.13,84.88,37,23,4.25,few clouds,2020-08-30 15:36:24
175,Nara,JP,34.69,135.8,84.99,58,44,3.36,scattered clouds,2020-08-30 15:40:11
176,Naze,JP,28.37,129.48,82.4,83,6,4.7,clear sky,2020-08-30 15:40:44
177,Douglas,US,41.3,-96.17,72.0,60,1,9.17,clear sky,2020-08-30 15:38:29
178,San Cristobal,VE,7.77,-72.22,80.6,74,40,4.7,scattered clouds,2020-08-30 15:40:44
179,Pangnirtung,CA,66.15,-65.71,54.12,42,5,4.12,clear sky,2020-08-30 15:40:44
180,Bredasdorp,ZA,-34.53,20.04,57.2,50,60,10.29,broken clouds,2020-08-30 15:40:45
181,Baykit,RU,61.67,96.37,51.26,86,33,2.37,scattered clouds,2020-08-30 15:40:45
182,Izhma,RU,65.01,53.91,53.8,97,100,4.99,overcast clouds,2020-08-30 15:40:45
